Date,Country/Region,day_of_week,Qtde Autorizados,Valor Autorizados,Qtde Autorizados_2019_mean,Valor Autorizados_2019_mean,populacao,Confirmed,Deaths,C1,C2,C3,C4,C5,C6,C7,C8
02/15/2020,AC,5,186163.0,12495343.35,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
02/16/2020,AC,6,113693.0,6679990.49,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
02/17/2020,AC,0,170151.0,11356873.1,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
02/18/2020,AC,1,167164.0,11023622.75,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
02/19/2020,AC,2,163811.0,11658362.72,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
02/20/2020,AC,3,162742.0,11371824.71,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
02/21/2020,AC,4,183371.0,13503093.65,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
02/22/2020,AC,5,186853.0,13664350.22,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
02/23/2020,AC,6,110562.0,6508133.53,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
02/24/2020,AC,0,163550.0,11441997.8,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
02/25/2020,AC,1,125913.0,7775600.7,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
02/26/2020,AC,2,153028.0,10428537.24,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
02/27/2020,AC,3,153129.0,11088361.49,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
02/28/2020,AC,4,171250.0,12913328.42,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
02/29/2020,AC,5,181505.0,14266957.42,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
03/01/2020,AC,6,109364.0,7179538.98,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
03/02/2020,AC,0,193151.0,13855032.18,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
03/03/2020,AC,1,173784.0,12844111.14,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
03/04/2020,AC,2,175935.0,12412989.61,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
03/05/2020,AC,3,172556.0,12516298.66,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
03/06/2020,AC,4,180544.0,13406259.4,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
03/07/2020,AC,5,196215.0,14833969.51,157935.93424657534,11302107.061972603,881935.0,0,0,0,0,0,0,0,0,0,0
