C1,C2,C3,C4,C5,C6,C7,C8,Confirmed,Country/Region,Date,Deaths,Qtde Autorizados,Qtde Autorizados_2019_mean,Valor Autorizados,Valor Autorizados_2019_mean,day_of_week,populacao
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,AC,03/19/2020,0.0,151555.0,157935.93424657534,11071687.93,11302107.061972605,3.0,881935.0
0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,AC,03/20/2020,0.0,143065.0,157935.93424657534,10666185.42,11302107.061972605,4.0,881935.0
0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,AC,03/21/2020,0.0,129421.0,157935.93424657534,10022350.32,11302107.061972605,5.0,881935.0
0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,AC,03/22/2020,0.0,74233.0,157935.93424657534,4811909.35,11302107.061972605,6.0,881935.0
0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,AC,03/23/2020,0.0,126547.0,157935.93424657534,9125267.83,11302107.061972605,0.0,881935.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,AC,03/24/2020,0.0,113769.0,157935.93424657534,8082546.47,11302107.061972605,1.0,881935.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,AC,03/25/2020,0.0,110401.0,157935.93424657534,8529185.19,11302107.061972605,2.0,881935.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AC,03/26/2020,0.0,115394.0,157935.93424657534,8225028.89,11302107.061972605,3.0,881935.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AC,03/27/2020,0.0,123289.0,157935.93424657534,9143975.71,11302107.061972605,4.0,881935.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,AC,03/28/2020,0.0,124575.0,157935.93424657534,8647744.55,11302107.061972605,5.0,881935.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,AC,03/29/2020,0.0,77015.0,157935.93424657534,4696916.56,11302107.061972605,6.0,881935.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,AC,03/30/2020,0.0,133620.0,157935.93424657534,9804097.13,11302107.061972605,0.0,881935.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,AC,03/31/2020,0.0,142502.0,157935.93424657534,10456739.97,11302107.061972605,1.0,881935.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AC,04/01/2020,0.0,127813.0,157935.93424657534,9730419.15,11302107.061972605,2.0,881935.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,AC,04/02/2020,0.0,133040.0,157935.93424657534,9941373.52,11302107.061972605,3.0,881935.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,AC,04/03/2020,0.0,131922.0,157935.93424657534,9894009.35,11302107.061972605,4.0,881935.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,AC,04/04/2020,0.0,132255.0,157935.93424657534,9286092.49,11302107.061972605,5.0,881935.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,AC,04/05/2020,0.0,78588.0,157935.93424657534,4636299.82,11302107.061972605,6.0,881935.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,AC,04/06/2020,0.0,157787.0,157935.93424657534,10931460.79,11302107.061972605,0.0,881935.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,AC,04/07/2020,1.0,155448.0,157935.93424657534,11138515.1,11302107.061972605,1.0,881935.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,AC,04/08/2020,1.0,148520.0,157935.93424657534,10763468.66,11302107.061972605,2.0,881935.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,AC,04/09/2020,0.0,146878.0,157935.93424657534,10609116.91,11302107.061972605,3.0,881935.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,AC,04/10/2020,0.0,97026.0,157935.93424657534,5798451.09,11302107.061972605,4.0,881935.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,AC,04/11/2020,0.0,144545.0,157935.93424657534,9326857.59,11302107.061972605,5.0,881935.0
