C1,C2,C3,C4,C5,C6,C7,C8,Confirmed,Country/Region,Date,Deaths,estagio
1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,Albania,03/09/2020,0.0,4.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,Albania,03/10/2020,0.0,4.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,Albania,03/11/2020,1.0,4.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,11.0,Albania,03/12/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,Albania,03/13/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,Albania,03/14/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,Albania,03/15/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,Albania,03/16/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,Albania,03/17/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,Albania,03/18/2020,1.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,Albania,03/19/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,Albania,03/20/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,Albania,03/21/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,Albania,03/22/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,Albania,03/23/2020,2.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,Albania,03/24/2020,1.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,Albania,03/25/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,Albania,03/26/2020,1.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,Albania,03/27/2020,2.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,Albania,03/28/2020,2.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,Albania,03/29/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,Albania,03/30/2020,1.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,Albania,03/31/2020,4.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,Albania,04/01/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,Albania,04/02/2020,1.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,Albania,04/03/2020,1.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,Albania,04/04/2020,3.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,Albania,04/05/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,Albania,04/06/2020,1.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,Albania,04/07/2020,1.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,Albania,04/08/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,Albania,04/09/2020,1.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,Albania,04/10/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,Albania,04/11/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,Albania,04/12/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,Albania,04/13/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,Albania,04/14/2020,1.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,Albania,04/15/2020,1.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,Albania,04/16/2020,1.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,Albania,04/17/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,Albania,04/18/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,Albania,04/19/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,Albania,04/20/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,Albania,04/21/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,Albania,04/22/2020,1.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,Albania,04/23/2020,0.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,Albania,04/24/2020,0.0,4.0
