C1,C2,C3,C4,C5,C6,C7,C8,Confirmed,Country/Region,Date,Deaths,Recovered,estagio,peak,postinflex,preinflex
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Angola,03/20/2020,0.0,0.0,1.0,217.0,255.0,179.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Angola,03/21/2020,0.0,0.0,1.0,217.0,255.0,179.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Angola,03/22/2020,0.0,0.0,1.0,217.0,255.0,179.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Angola,03/23/2020,0.0,0.0,1.0,217.0,255.0,179.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Angola,03/24/2020,0.0,0.0,1.0,217.0,255.0,179.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Angola,03/25/2020,0.0,0.0,1.0,217.0,255.0,179.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Angola,03/26/2020,0.0,0.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Angola,03/27/2020,0.0,0.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Angola,03/28/2020,0.0,0.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Angola,03/29/2020,2.0,0.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Angola,03/30/2020,0.0,0.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Angola,03/31/2020,0.0,1.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Angola,04/01/2020,0.0,1.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Angola,04/02/2020,0.0,1.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Angola,04/03/2020,0.0,1.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Angola,04/04/2020,0.0,2.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,Angola,04/05/2020,0.0,2.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Angola,04/06/2020,0.0,2.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Angola,04/07/2020,0.0,2.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Angola,04/08/2020,0.0,2.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Angola,04/09/2020,0.0,2.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Angola,04/10/2020,0.0,2.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Angola,04/11/2020,0.0,4.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Angola,04/12/2020,0.0,4.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Angola,04/13/2020,0.0,4.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Angola,04/14/2020,0.0,5.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Angola,04/15/2020,0.0,5.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Angola,04/16/2020,0.0,5.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Angola,04/17/2020,0.0,5.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,Angola,04/18/2020,0.0,6.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Angola,04/19/2020,0.0,6.0,1.0,217.0,255.0,179.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Angola,04/20/2020,0.0,6.0,1.0,217.0,255.0,179.0
