C1,C2,C3,C4,C5,C6,C7,C8,Confirmed,Country/Region,Date,Deaths,Recovered,estagio,peak,postinflex,preinflex
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Bahrain,02/24/2020,0.0,0.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,Bahrain,02/25/2020,0.0,0.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,Bahrain,02/26/2020,0.0,0.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bahrain,02/27/2020,0.0,0.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Bahrain,02/28/2020,0.0,0.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,Bahrain,02/29/2020,0.0,0.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,Bahrain,03/01/2020,0.0,0.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Bahrain,03/02/2020,0.0,0.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bahrain,03/03/2020,0.0,0.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Bahrain,03/04/2020,0.0,0.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Bahrain,03/05/2020,0.0,0.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,Bahrain,03/06/2020,0.0,4.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,Bahrain,03/07/2020,0.0,4.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bahrain,03/08/2020,0.0,4.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,Bahrain,03/09/2020,0.0,14.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,Bahrain,03/10/2020,0.0,22.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.0,Bahrain,03/11/2020,0.0,35.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bahrain,03/12/2020,0.0,35.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bahrain,03/13/2020,0.0,44.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,Bahrain,03/14/2020,0.0,44.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,Bahrain,03/15/2020,0.0,60.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bahrain,03/16/2020,1.0,77.0,4.0,157.0,197.0,117.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,Bahrain,03/17/2020,0.0,81.0,4.0,157.0,197.0,117.0
