peak_t+1,postinflex_t+1,preinflex_t+1
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
133.0,154.0,112.0
