Date,Country/Region,day_of_week,Qtde Autorizados,Valor Autorizados,populacao,Confirmed,Deaths,C1,C2,C3,C4,C5,C6,C7,C8,preinflex,peak,postinflex,estagio,Qtde Autorizados_2019_mean,Valor Autorizados_2019_mean
03/19/2020,AC,3,151555.0,11071687.93,881935,3,0,0,0,0,1,0,0,0,0,50.0,93.0,136.0,5.0,157935.93424657534,11302107.061972594
03/20/2020,AC,4,143065.0,10666185.42,881935,4,0,0,1,1,1,1,0,1,1,50.0,93.0,136.0,5.0,157935.93424657534,11302107.061972594
03/21/2020,AC,5,129421.0,10022350.32,881935,2,0,0,1,1,1,1,0,1,1,50.0,93.0,136.0,5.0,157935.93424657534,11302107.061972594
03/22/2020,AC,6,74233.0,4811909.35,881935,2,0,0,1,1,1,1,0,1,1,50.0,93.0,136.0,5.0,157935.93424657534,11302107.061972594
03/23/2020,AC,0,126547.0,9125267.83,881935,0,0,0,1,1,1,1,0,1,1,50.0,93.0,136.0,5.0,157935.93424657534,11302107.061972594
03/24/2020,AC,1,113769.0,8082546.47,881935,6,0,0,1,1,1,1,1,1,1,50.0,93.0,136.0,5.0,157935.93424657534,11302107.061972594
03/25/2020,AC,2,110401.0,8529185.19,881935,6,0,0,1,1,1,1,1,1,1,50.0,93.0,136.0,5.0,157935.93424657534,11302107.061972594
03/26/2020,AC,3,115394.0,8225028.89,881935,1,0,0,1,1,1,1,1,1,1,50.0,93.0,136.0,5.0,157935.93424657534,11302107.061972594
03/27/2020,AC,4,123289.0,9143975.71,881935,1,0,1,1,1,1,1,1,1,1,50.0,93.0,136.0,5.0,157935.93424657534,11302107.061972594
03/28/2020,AC,5,124575.0,8647744.55,881935,0,0,1,1,1,1,1,1,1,1,50.0,93.0,136.0,5.0,157935.93424657534,11302107.061972594
03/29/2020,AC,6,77015.0,4696916.56,881935,9,0,1,1,1,1,1,1,1,1,50.0,93.0,136.0,5.0,157935.93424657534,11302107.061972594
03/30/2020,AC,0,133620.0,9804097.13,881935,8,0,1,1,1,1,1,1,1,1,50.0,93.0,136.0,5.0,157935.93424657534,11302107.061972594
