Data,UF,day_of_week,Qtde Autorizados,Valor Autorizados,populacao,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Qtde Autorizados_2019_mean,Valor Autorizados_2019_mean
2020-02-25,PI,1,194213,13736005.84,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-02-26,PI,2,439285,35560620.72,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-02-27,PI,3,538241,47293490.03,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-02-28,PI,4,590453,53733051.06,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-02-29,PI,5,587123,56439988.85,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-01,PI,6,308167,24646210.38,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-02,PI,0,575718,48665626.58,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-03,PI,1,536691,45674015.98,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-04,PI,2,533092,46570263.78,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-05,PI,3,544741,46856839.73,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-06,PI,4,598138,53015114.12,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-07,PI,5,571301,50591518.97,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-08,PI,6,312950,23945181.92,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-09,PI,0,527602,44335153.97,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-10,PI,1,504720,42713076.46,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-11,PI,2,538068,44734536.09,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-12,PI,3,514931,42685503.81,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-13,PI,4,511446,44366106.6,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-14,PI,5,530967,45410856.94,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-15,PI,6,305812,23118819.42,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-16,PI,0,488980,41403068.28,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-17,PI,1,535328,44787907.06,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-18,PI,2,518211,46258340.3,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-19,PI,3,470847,42933942.04,3273227,0,0,0,0,480958.9479452055,41289248.797232874
2020-03-20,PI,4,490284,47170549.96,3273227,3,3,0,0,480958.9479452055,41289248.797232874
2020-03-21,PI,5,412016,37316143.78,3273227,4,1,0,0,480958.9479452055,41289248.797232874
2020-03-22,PI,6,185150,14581683.49,3273227,4,0,0,0,480958.9479452055,41289248.797232874
2020-03-23,PI,0,334664,28343475.3,3273227,6,2,0,0,480958.9479452055,41289248.797232874
2020-03-24,PI,1,291919,23741441.97,3273227,6,0,0,0,480958.9479452055,41289248.797232874
2020-03-25,PI,2,289964,24440240.32,3273227,8,2,0,0,480958.9479452055,41289248.797232874
2020-03-26,PI,3,305186,25064643.7,3273227,9,1,0,0,480958.9479452055,41289248.797232874
2020-03-27,PI,4,330423,27328746.66,3273227,9,0,0,0,480958.9479452055,41289248.797232874
2020-03-28,PI,5,333140,26773018.38,3273227,11,2,1,1,480958.9479452055,41289248.797232874
2020-03-29,PI,6,184685,13222914.77,3273227,14,3,1,0,480958.9479452055,41289248.797232874
2020-03-30,PI,0,359719,30798233.9,3273227,16,2,3,2,480958.9479452055,41289248.797232874
2020-03-31,PI,1,370234,37580418.21,3273227,18,2,4,1,480958.9479452055,41289248.797232874
2020-04-01,PI,2,375579,33928285.88,3273227,18,0,4,0,480958.9479452055,41289248.797232874
2020-04-02,PI,3,372504,34141065.96,3273227,19,1,4,0,480958.9479452055,41289248.797232874
2020-04-03,PI,4,384822,35043048.49,3273227,21,2,4,0,480958.9479452055,41289248.797232874
2020-04-04,PI,5,364542,32570818.61,3273227,22,1,4,0,480958.9479452055,41289248.797232874
2020-04-05,PI,6,181218,14757407.43,3273227,23,1,4,0,480958.9479452055,41289248.797232874
2020-04-06,PI,0,385220,36258415.54,3273227,23,0,4,0,480958.9479452055,41289248.797232874
2020-04-07,PI,1,387466,36373521.92,3273227,28,5,4,0,480958.9479452055,41289248.797232874
2020-04-08,PI,2,407208,37203436.05,3273227,31,3,5,1,480958.9479452055,41289248.797232874
2020-04-09,PI,3,384186,31497335.8,3273227,38,7,6,1,480958.9479452055,41289248.797232874
