C1,C2,C3,C4,C5,C6,C7,C8,Confirmed,Country/Region,Date,Deaths,estagio,peak,postinflex,preinflex
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Afghanistan,02/24/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,02/25/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,02/26/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,02/27/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,02/28/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,02/29/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,03/01/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,03/02/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,03/03/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,03/04/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,03/05/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,03/06/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,03/07/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,Afghanistan,03/08/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,03/09/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,Afghanistan,03/10/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,Afghanistan,03/11/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,03/12/2020,0.0,5.0,133.0,154.0,112.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,03/13/2020,0.0,5.0,133.0,154.0,112.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,Afghanistan,03/14/2020,0.0,5.0,133.0,154.0,112.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,Afghanistan,03/15/2020,0.0,5.0,133.0,154.0,112.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,Afghanistan,03/16/2020,0.0,5.0,133.0,154.0,112.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,Afghanistan,03/17/2020,0.0,5.0,133.0,154.0,112.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,03/18/2020,0.0,5.0,133.0,154.0,112.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,03/19/2020,0.0,5.0,133.0,154.0,112.0
