C1,C2,C3,C4,C5,C6,C7,C8,Confirmed,Country/Region,Date,Deaths,Recovered,estagio,peak,postinflex,preinflex
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Argentina,03/03/2020,0.0,0.0,1.0,217.0,264.0,170.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina,03/04/2020,0.0,0.0,1.0,217.0,264.0,170.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina,03/05/2020,0.0,0.0,1.0,217.0,264.0,170.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Argentina,03/06/2020,0.0,0.0,1.0,217.0,264.0,170.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Argentina,03/07/2020,0.0,0.0,1.0,217.0,264.0,170.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Argentina,03/08/2020,1.0,0.0,1.0,217.0,264.0,170.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina,03/09/2020,0.0,0.0,1.0,217.0,264.0,170.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Argentina,03/10/2020,0.0,0.0,1.0,217.0,264.0,170.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,Argentina,03/11/2020,0.0,0.0,1.0,217.0,264.0,170.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Argentina,03/12/2020,0.0,0.0,1.0,217.0,264.0,170.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,Argentina,03/13/2020,1.0,0.0,1.0,217.0,264.0,170.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,Argentina,03/14/2020,0.0,1.0,1.0,217.0,264.0,170.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,Argentina,03/15/2020,0.0,1.0,1.0,217.0,264.0,170.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,Argentina,03/16/2020,0.0,1.0,1.0,217.0,264.0,170.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,Argentina,03/17/2020,0.0,3.0,1.0,217.0,264.0,170.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,Argentina,03/18/2020,0.0,3.0,1.0,217.0,264.0,170.0
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,18.0,Argentina,03/19/2020,1.0,3.0,1.0,217.0,264.0,170.0
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,31.0,Argentina,03/20/2020,0.0,3.0,1.0,217.0,264.0,170.0
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,30.0,Argentina,03/21/2020,1.0,3.0,1.0,217.0,264.0,170.0
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,108.0,Argentina,03/22/2020,0.0,3.0,1.0,217.0,264.0,170.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,Argentina,03/23/2020,0.0,3.0,1.0,217.0,264.0,170.0
